epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7851,1.88233,4.85868,0.03372,0.01786,0.14411,0.20098,0.1479,0.11992,1.54222,3.24968,0.03184,0.00304,0.00019998,0.00019998,0.00019998
2,139.302,1.32254,3.0767,0.03217,0.00664,0.59379,0.36045,0.35506,0.31305,1.20664,2.28215,0.02766,0.00381,0.000407,0.000407,0.000407
3,187.083,1.18435,1.98973,0.0306,0.00678,0.65272,0.49997,0.52134,0.44479,0.98807,1.47948,0.02589,0.00465,0.000609841,0.000609841,0.000609841
4,235.17,1.08118,1.46354,0.02971,0.00564,0.64008,0.60339,0.59935,0.50185,1.01654,1.17104,0.02578,0.00286,0.000808502,0.000808502,0.000808502
5,281.821,1.01177,1.19067,0.02984,0.00474,0.61321,0.61028,0.63269,0.52305,0.95152,1.14749,0.0251,0.00293,0.00100298,0.00100298,0.00100298
6,328.933,0.98812,1.04443,0.03086,0.00467,0.74994,0.67798,0.7099,0.58521,0.91597,0.86904,0.02499,0.00348,0.00105601,0.00105601,0.00105601
7,375.34,0.9661,0.94821,0.02812,0.00538,0.74114,0.70806,0.71755,0.60777,0.83424,0.9095,0.02513,0.00315,0.00104501,0.00104501,0.00104501
8,420.513,0.9324,0.86954,0.0275,0.00375,0.7973,0.71156,0.77236,0.63207,0.85946,0.72459,0.02453,0.00311,0.00103401,0.00103401,0.00103401
9,466.02,0.91614,0.81259,0.0256,0.00443,0.79958,0.7383,0.79603,0.6579,0.7681,0.64391,0.02326,0.0023,0.00102301,0.00102301,0.00102301
10,536.323,0.9108,0.76024,0.02894,0.00466,0.79951,0.77008,0.80033,0.66905,0.77883,0.65267,0.02384,0.00257,0.00101201,0.00101201,0.00101201
11,602.862,0.8855,0.71194,0.02703,0.00489,0.80706,0.77756,0.81926,0.68103,0.78068,0.58583,0.024,0.00239,0.00100101,0.00100101,0.00100101
12,666.212,0.87044,0.69325,0.0281,0.0042,0.8253,0.78784,0.81393,0.68474,0.86685,0.64071,0.024,0.00289,0.000990012,0.000990012,0.000990012
13,723.913,0.85308,0.67749,0.02784,0.00435,0.82681,0.78117,0.83645,0.70121,0.78754,0.63305,0.02378,0.00212,0.000979013,0.000979013,0.000979013
14,772.459,0.82985,0.65517,0.02968,0.00373,0.84642,0.79679,0.83773,0.71954,0.70685,0.73386,0.02365,0.00181,0.000968014,0.000968014,0.000968014
15,819.749,0.8181,0.63143,0.02785,0.00449,0.84991,0.82939,0.86567,0.72133,0.74912,0.65385,0.02374,0.00167,0.000957015,0.000957015,0.000957015
16,865.156,0.79729,0.60044,0.029,0.00395,0.88023,0.82955,0.87214,0.74999,0.67075,0.46054,0.02341,0.00154,0.000946016,0.000946016,0.000946016
17,911.178,0.79312,0.59836,0.02635,0.00424,0.85841,0.81051,0.87049,0.73744,0.67893,0.58336,0.02292,0.00188,0.000935018,0.000935018,0.000935018
18,954.898,0.80622,0.60409,0.0267,0.00347,0.85365,0.845,0.88481,0.76008,0.71648,0.49651,0.0233,0.00191,0.000924019,0.000924019,0.000924019
19,1002.3,0.78544,0.57928,0.02657,0.00312,0.86376,0.85232,0.89515,0.75865,0.69855,0.5128,0.02316,0.0017,0.00091302,0.00091302,0.00091302
20,1046.9,0.7594,0.5623,0.02687,0.00397,0.90606,0.8216,0.88134,0.73982,0.70405,0.5984,0.02333,0.00179,0.000902021,0.000902021,0.000902021
21,1092.81,0.76287,0.55363,0.02818,0.00348,0.85684,0.82759,0.85998,0.74323,0.65111,0.65352,0.02322,0.00122,0.000891022,0.000891022,0.000891022
22,1137.79,0.77344,0.57253,0.02771,0.00358,0.89285,0.83996,0.90389,0.77529,0.64268,0.56018,0.02291,0.00153,0.000880023,0.000880023,0.000880023
23,1183.66,0.77639,0.53545,0.02639,0.00427,0.89121,0.80945,0.86371,0.75025,0.66542,0.45113,0.02328,0.00184,0.000869024,0.000869024,0.000869024
24,1228.91,0.74412,0.51081,0.02848,0.00306,0.81721,0.87301,0.90378,0.77071,0.6647,0.53753,0.02317,0.00136,0.000858025,0.000858025,0.000858025
25,1273.52,0.74473,0.52138,0.02764,0.00386,0.89091,0.82822,0.88891,0.74592,0.77711,0.47578,0.02352,0.00197,0.000847026,0.000847026,0.000847026
26,1318.71,0.75184,0.51884,0.02694,0.00324,0.83767,0.8412,0.89666,0.75955,0.75337,0.47088,0.02279,0.00178,0.000836027,0.000836027,0.000836027
27,1363.84,0.71501,0.49296,0.02779,0.00266,0.9062,0.83269,0.89508,0.7715,0.75888,0.51693,0.02321,0.00261,0.000825029,0.000825029,0.000825029
28,1408.01,0.71832,0.49386,0.02667,0.00328,0.89496,0.83388,0.89695,0.76839,0.71685,0.62962,0.02322,0.00175,0.00081403,0.00081403,0.00081403
29,1451.56,0.7385,0.49805,0.02685,0.00302,0.8734,0.85893,0.91219,0.78056,0.68976,0.45406,0.02264,0.00153,0.000803031,0.000803031,0.000803031
30,1497.2,0.69347,0.46252,0.02901,0.00263,0.89063,0.82974,0.89342,0.76025,0.71367,0.45855,0.02316,0.0013,0.000792032,0.000792032,0.000792032
31,1542.01,0.71762,0.49103,0.02847,0.00296,0.90197,0.84931,0.90161,0.77852,0.67183,0.43863,0.02321,0.00139,0.000781033,0.000781033,0.000781033
